,telephone1,storeName,uniqueID,country,city,addressLine,stateOrProvinceName,distance,postalCode,longitude,fax1,latitude,Centro de distribucion,Horario,Servicios Fotográficos,Zona,Recoger en Superfarmacia,Entrega a domicilio,Consultorio Médico,Ubicacion,thumbnail,displayStoreName
981,7171323247,SU1633,715840611,México,C-San Antonio la Isla,"['San Dimas Manzana #24 2', 'Ex Rancho San Dimas']",S-Estado de México,3.804955974,52282,-99.55903,7171323562,19.17512,Centro de distribución noreste,Abierto las 24 horas,No cuenta con servicio de Kromi,Zona 15073,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_MxSnAntIslaDima.jpg,SAN DIMAS
982,7222327303,SU614,715839592,México,C-Metepec,"['Paseo San Isidro #400L-14', 'Santa Cruz']",S-Estado de México,4.88023662,52140,-99.61276,7222327309,19.25241,Centro de distribución noreste,Abierto las 24 horas,No cuenta con servicio de Kromi,Zona 2287,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_MxMetPdelParque.jpg,PLAZA DEL PARQUE
983,7222807263,SU324,715839302,México,C-Toluca,"['Jesús Carranza #445 5', 'Bosques de Colón']",S-Estado de México,1.142556651,50180,-99.65972,7222807262,19.25731,Centro de distribución noreste,Abierto de 7 a.m a 10 p.m.,No cuenta con servicio de Kromi,Zona 933,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_MxTolBosquesdeC.jpg,BOSQUES DE COLÓN
984,7222126245,SU261,715839239,México,C-Toluca,"['Heriberto Enríquez #904', 'Aztecas']",S-Estado de México,2.785871544,50180,-99.64435,7222126344,19.26173,Centro de distribución noreste,Abierto las 24 horas,Disponible durante el horario de tienda,Zona 933,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_MxTolAztecas.jpg,AZTECAS
985,7222746000,SU187,715839165,México,C-Toluca,"['Calz. al Pacífico #1500 LOCAL 1', 'San Buenaventura']",S-Estado de México,2.937479938,50110,-99.69576,7222746066,19.25672,Centro de distribución noreste,Abierto las 24 horas,No cuenta con servicio de Kromi,Zona 933,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_MxTolCPacifico.jpg,CALZADA DEL PACÍFICO
986,7222234340,SU1242,715840220,México,C-Toluca,"['Av. Benito Juárez #1032', 'Universidad']",S-Estado de México,3.160371351,50130,-99.65396,7222128084,19.27606,Centro de distribución noreste,Abierto las 24 horas,No cuenta con servicio de Kromi,Zona 933,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_MxTolJuarez.jpg,AV. JUÁREZ
987,7222149442,SU1665,715840643,México,C-Toluca,"['Paseo General Vicente Guerrero #236', 'Fracc. Plaza de San Buenaventura']",S-Estado de México,3.494678769,50110,-99.6732,7222145565,19.28222,Centro de distribución noreste,Abierto las 24 horas,No cuenta con servicio de Kromi,Zona 933,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_MxTolVicenteGro.jpg,VICENTE GUERRERO
988,7222141078,SU149,715839128,México,C-Toluca,"['Vicente Villada #400', 'Centro']",S-Estado de México,3.935200961,50000,-99.65832,7222149008,19.28521,Centro de distribución noreste,Abierto de 7 a.m a 10 p.m.,No cuenta con servicio de Kromi,Zona 933,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_MxTolVillada.jpg,VILLADA
989,7222144656,SU619,715839597,México,C-Toluca,"['Av. Instituto Literario #105', 'Francisco Murguía']",S-Estado de México,4.15108434,50130,-99.65483,7222145052,19.28619,Centro de distribución noreste,Abierto de 7 a.m a 10 p.m.,Disponible durante el horario de tienda,Zona 933,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_MxTolInstLitera.jpg,INSTITUTO LITERARIO
990,7222141349,SU272,715839250,México,C-Toluca,"['Miguel Hidalgo Poniente #701', 'La Merced']",S-Estado de México,4.33833877,50080,-99.66382,7222141350,19.2899,Centro de distribución noreste,Abierto las 24 horas,Disponible durante el horario de tienda,Zona 933,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_MxTolHidalgo.jpg,HIDALGO
